ID type condition block concept_dist sound_dist item_object item_sound answer correct code gender age
subject_7 Test 2 1 catch catch flower nak 1 0 eliz-3/6-02 M 5y2m
subject_7 Test 2 1 catch catch flower nak 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 2 1 catch catch flower nak 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 2 2 catch catch flower nak 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 2 2 catch catch flower nak 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 2 2 catch catch flower nak 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 2 2 catch catch flower nak 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 3 1 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 3 1 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 3 1 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 3 1 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 3 2 similar similar bird zem 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 3 2 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 3 2 similar similar bird zem 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 3 2 similar similar bird zem 0 1 eliz-3/6-02 M 5y2m
subject_7 Test 4 1 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 4 1 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 4 1 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 4 1 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 4 2 different different tree aka 1 1 eliz-3/6-02 M 5y2m
subject_7 Test 4 2 different different tree aka 1 1 eliz-3/6-02 M 5y2m
subject_7 Test 4 2 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_7 Test 4 2 different different tree aka 0 0 eliz-3/6-02 M 5y2m
subject_8 Test_pre joint NA NA NA NA NA 0 NA eliz-3/6-03 M 5y1m
subject_8 Test_pre joint NA NA NA NA NA 0 NA eliz-3/6-03 M 5y1m
subject_8 Test_pre joint NA NA NA NA NA 1 NA eliz-3/6-03 M 5y1m
subject_8 Test_pre joint NA NA NA NA NA 1 NA eliz-3/6-03 M 5y1m
subject_8 Test 0 1 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 0 1 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 0 1 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 0 1 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 0 2 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 0 2 different different fish zem 0 0 eliz-3/6-03 M 5y1m
subject_8 Test 0 2 different different fish zem 0 0 eliz-3/6-03 M 5y1m
subject_8 Test 0 2 different different fish zem 1 1 eliz-3/6-03 M 5y1m
subject_8 Test 1 1 similar similar bug aba 0 0 eliz-3/6-03 M 5y1m
subject_8 Test 1 1 similar similar bug aba 1 1 eliz-3/6-03 M 5y1m
